INFO     | 2018-05-30 09:33:58,543 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-05-30 09:33:58,548 | config     | Setting 'alignment' to 'uce-2501.nexus.phy'
INFO     | 2018-05-30 09:33:58,548 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-05-30 09:33:58,549 | parser     | You set 'models' to: GTR+G
INFO     | 2018-05-30 09:33:58,560 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2018-05-30 09:33:58,560 | model_load | GTR+G
INFO     | 2018-05-30 09:33:58,560 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2018-05-30 09:33:58,562 | config     | Setting 'search' to 'rclusterf'
INFO     | 2018-05-30 09:33:58,562 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2018-05-30 09:33:58,562 | config     | Looking for alignment file './uce-2501.nexus.phy'...
INFO     | 2018-05-30 09:33:58,562 | analysis   | Beginning Analysis
INFO     | 2018-05-30 09:33:58,584 | alignment  | Reading alignment file './uce-2501.nexus.phy'
INFO     | 2018-05-30 09:33:58,589 | analysis   | Starting tree will be estimated from the data.
INFO     | 2018-05-30 09:33:58,590 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2018-05-30 09:33:58,649 | raxml      | Topology estimation finished
INFO     | 2018-05-30 09:33:58,652 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2018-05-30 09:33:58,716 | raxml      | Branchlength estimation finished
INFO     | 2018-05-30 09:33:58,716 | analysis_m | Performing relaxed clustering analysis
INFO     | 2018-05-30 09:33:58,716 | analysis_m |    PartitionFinder will have to analyse 7 subsets to complete this analyses
INFO     | 2018-05-30 09:33:58,716 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2018-05-30 09:33:58,889 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2018-05-30 09:33:58,988 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2018-05-30 09:33:59,095 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2018-05-30 09:33:59,127 | analysis_m |    *** Relaxed clustering algorithm step 1 of up to 2 ***
INFO     | 2018-05-30 09:33:59,127 | analysis_m |       Measuring the similarity of 3 subset pairs
INFO     | 2018-05-30 09:33:59,128 | analysis_m |       Choosing the 1 most similar subset pairs
INFO     | 2018-05-30 09:33:59,128 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2018-05-30 09:33:59,239 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2018-05-30 09:33:59,239 | analysis_m |       Finding the best partitioning scheme
INFO     | 2018-05-30 09:33:59,241 | analysis_m |       Combining subsets: 'uce-2501_right' and 'uce-2501_left'
INFO     | 2018-05-30 09:33:59,241 | analysis_m |       This improves the aicc score by: 14.1304895534
INFO     | 2018-05-30 09:33:59,242 | analysis_m |       The best scheme has 2 subsets and improves the aicc score by 14.13 to 1246.1
INFO     | 2018-05-30 09:33:59,244 | analysis_m |    *** Relaxed clustering algorithm step 2 of up to 2 ***
INFO     | 2018-05-30 09:33:59,245 | analysis_m |       Measuring the similarity of 1 subset pairs
INFO     | 2018-05-30 09:33:59,245 | analysis_m |       Choosing the 1 most similar subset pairs
INFO     | 2018-05-30 09:33:59,245 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2018-05-30 09:33:59,344 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2018-05-30 09:33:59,345 | analysis_m |       Finding the best partitioning scheme
INFO     | 2018-05-30 09:33:59,346 | analysis_m |       Combining subsets: 'uce-2501_core' and 'uce-2501_right, uce-2501_left'
INFO     | 2018-05-30 09:33:59,346 | analysis_m |       This improves the aicc score by: 2.44527511572
INFO     | 2018-05-30 09:33:59,347 | analysis_m |       The best scheme has 1 subsets and improves the aicc score by 2.45 to 1243.6
INFO     | 2018-05-30 09:33:59,360 | analysis_m |    Relaxed clustering algorithm finished after 2 steps
INFO     | 2018-05-30 09:33:59,360 | analysis_m |    Best scoring scheme is scheme step_2, with aicc score of 1243.633
INFO     | 2018-05-30 09:33:59,387 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2018-05-30 09:33:59,414 | model_util |    
INFO     | 2018-05-30 09:33:59,414 | model_util |    
INFO     | 2018-05-30 09:33:59,415 | model_util |    *Citations for this analysis*
INFO     | 2018-05-30 09:33:59,415 | model_util |    -----------------------------
INFO     | 2018-05-30 09:33:59,415 | model_util |    
INFO     | 2018-05-30 09:33:59,415 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2018-05-30 09:33:59,415 | model_util |    
INFO     | 2018-05-30 09:33:59,415 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2018-05-30 09:33:59,415 | model_util |    Lanfear, R., Calcott, B., Frandsen, P. Forthcoming. PartitionFinder 2: new methods for selecting partitioning schemes and models of molecular evolution for large datasets. In preparation.
INFO     | 2018-05-30 09:33:59,415 | model_util |    
INFO     | 2018-05-30 09:33:59,415 | model_util |    For the rclusterf algorithm you used, please cite:
INFO     | 2018-05-30 09:33:59,415 | model_util |    Lanfear, R., Calcott, B., Kainer, D., Mayer, C., & Stamatakis, A. (2014). Selecting optimal partitioning schemes for phylogenomic datasets. BMC evolutionary biology, 14(1), 82.
INFO     | 2018-05-30 09:33:59,415 | model_util |    
INFO     | 2018-05-30 09:33:59,415 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2018-05-30 09:33:59,415 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2018-05-30 09:33:59,416 | model_util |    
INFO     | 2018-05-30 09:33:59,419 | main       | Total processing time: 0:00:01 (h:m:s)
INFO     | 2018-05-30 09:33:59,419 | main       | Processing complete.
