name,uce_site,aln_site,window_start,window_stop,type,value,plot_mtx
uce-2501,-137,0,83,210,entropy,-0.0,-1
uce-2501,-136,1,83,210,entropy,-0.0,-1
uce-2501,-135,2,83,210,entropy,-0.0,-1
uce-2501,-134,3,83,210,entropy,-0.0,-1
uce-2501,-133,4,83,210,entropy,-0.0,-1
uce-2501,-132,5,83,210,entropy,0.9182958340544896,-1
uce-2501,-131,6,83,210,entropy,-0.0,-1
uce-2501,-130,7,83,210,entropy,-0.0,-1
uce-2501,-129,8,83,210,entropy,0.9182958340544896,-1
uce-2501,-128,9,83,210,entropy,-0.0,-1
uce-2501,-127,10,83,210,entropy,-0.0,-1
uce-2501,-126,11,83,210,entropy,0.9182958340544896,-1
uce-2501,-125,12,83,210,entropy,-0.0,-1
uce-2501,-124,13,83,210,entropy,-0.0,-1
uce-2501,-123,14,83,210,entropy,-0.0,-1
uce-2501,-122,15,83,210,entropy,-0.0,-1
uce-2501,-121,16,83,210,entropy,-0.0,-1
uce-2501,-120,17,83,210,entropy,-0.0,-1
uce-2501,-119,18,83,210,entropy,-0.0,-1
uce-2501,-118,19,83,210,entropy,-0.0,-1
uce-2501,-117,20,83,210,entropy,0.9182958340544896,-1
uce-2501,-116,21,83,210,entropy,-0.0,-1
uce-2501,-115,22,83,210,entropy,-0.0,-1
uce-2501,-114,23,83,210,entropy,-0.0,-1
uce-2501,-113,24,83,210,entropy,-0.0,-1
uce-2501,-112,25,83,210,entropy,0.9182958340544896,-1
uce-2501,-111,26,83,210,entropy,0.9182958340544896,-1
uce-2501,-110,27,83,210,entropy,-0.0,-1
uce-2501,-109,28,83,210,entropy,-0.0,-1
uce-2501,-108,29,83,210,entropy,0.9182958340544896,-1
uce-2501,-107,30,83,210,entropy,-0.0,-1
uce-2501,-106,31,83,210,entropy,-0.0,-1
uce-2501,-105,32,83,210,entropy,0.9182958340544896,-1
uce-2501,-104,33,83,210,entropy,-0.0,-1
uce-2501,-103,34,83,210,entropy,-0.0,-1
uce-2501,-102,35,83,210,entropy,-0.0,-1
uce-2501,-101,36,83,210,entropy,-0.0,-1
uce-2501,-100,37,83,210,entropy,-0.0,-1
uce-2501,-99,38,83,210,entropy,-0.0,-1
uce-2501,-98,39,83,210,entropy,-0.0,-1
uce-2501,-97,40,83,210,entropy,-0.0,-1
uce-2501,-96,41,83,210,entropy,0.9182958340544896,-1
uce-2501,-95,42,83,210,entropy,-0.0,-1
uce-2501,-94,43,83,210,entropy,-0.0,-1
uce-2501,-93,44,83,210,entropy,-0.0,-1
uce-2501,-92,45,83,210,entropy,-0.0,-1
uce-2501,-91,46,83,210,entropy,-0.0,-1
uce-2501,-90,47,83,210,entropy,0.9182958340544896,-1
uce-2501,-89,48,83,210,entropy,-0.0,-1
uce-2501,-88,49,83,210,entropy,-0.0,-1
uce-2501,-87,50,83,210,entropy,-0.0,-1
uce-2501,-86,51,83,210,entropy,-0.0,-1
uce-2501,-85,52,83,210,entropy,-0.0,-1
uce-2501,-84,53,83,210,entropy,0.9182958340544896,-1
uce-2501,-83,54,83,210,entropy,-0.0,-1
uce-2501,-82,55,83,210,entropy,-0.0,-1
uce-2501,-81,56,83,210,entropy,-0.0,-1
uce-2501,-80,57,83,210,entropy,-0.0,-1
uce-2501,-79,58,83,210,entropy,-0.0,-1
uce-2501,-78,59,83,210,entropy,-0.0,-1
uce-2501,-77,60,83,210,entropy,-0.0,-1
uce-2501,-76,61,83,210,entropy,-0.0,-1
uce-2501,-75,62,83,210,entropy,-0.0,-1
uce-2501,-74,63,83,210,entropy,-0.0,-1
uce-2501,-73,64,83,210,entropy,-0.0,-1
uce-2501,-72,65,83,210,entropy,-0.0,-1
uce-2501,-71,66,83,210,entropy,-0.0,-1
uce-2501,-70,67,83,210,entropy,-0.0,-1
uce-2501,-69,68,83,210,entropy,-0.0,-1
uce-2501,-68,69,83,210,entropy,-0.0,-1
uce-2501,-67,70,83,210,entropy,-0.0,-1
uce-2501,-66,71,83,210,entropy,-0.0,-1
uce-2501,-65,72,83,210,entropy,-0.0,-1
uce-2501,-64,73,83,210,entropy,-0.0,-1
