INFO     | 2018-05-30 09:34:03,132 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-05-30 09:34:03,146 | config     | Setting 'alignment' to 'uce-1683.nexus.phy'
INFO     | 2018-05-30 09:34:03,147 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-05-30 09:34:03,148 | parser     | You set 'models' to: GTR+G
INFO     | 2018-05-30 09:34:03,177 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2018-05-30 09:34:03,178 | model_load | GTR+G
INFO     | 2018-05-30 09:34:03,178 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2018-05-30 09:34:03,181 | config     | Setting 'search' to 'rclusterf'
INFO     | 2018-05-30 09:34:03,182 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2018-05-30 09:34:03,182 | config     | Looking for alignment file './uce-1683.nexus.phy'...
INFO     | 2018-05-30 09:34:03,182 | analysis   | Beginning Analysis
INFO     | 2018-05-30 09:34:03,328 | alignment  | Reading alignment file './uce-1683.nexus.phy'
INFO     | 2018-05-30 09:34:03,386 | analysis   | Starting tree will be estimated from the data.
INFO     | 2018-05-30 09:34:03,398 | raxml      | Making MP tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2018-05-30 09:34:03,829 | raxml      | Topology estimation finished
INFO     | 2018-05-30 09:34:03,836 | raxml      | Estimating GTR+G branch lengths on tree using RAxML
INFO     | 2018-05-30 09:34:04,035 | raxml      | Branchlength estimation finished
INFO     | 2018-05-30 09:34:04,036 | analysis_m | Performing relaxed clustering analysis
INFO     | 2018-05-30 09:34:04,037 | analysis_m |    PartitionFinder will have to analyse 7 subsets to complete this analyses
INFO     | 2018-05-30 09:34:04,037 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2018-05-30 09:34:04,567 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2018-05-30 09:34:05,020 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2018-05-30 09:34:05,914 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2018-05-30 09:34:06,039 | analysis_m |    *** Relaxed clustering algorithm step 1 of up to 2 ***
INFO     | 2018-05-30 09:34:06,040 | analysis_m |       Measuring the similarity of 3 subset pairs
INFO     | 2018-05-30 09:34:06,041 | analysis_m |       Choosing the 1 most similar subset pairs
INFO     | 2018-05-30 09:34:06,042 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2018-05-30 09:34:06,733 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2018-05-30 09:34:06,734 | analysis_m |       Finding the best partitioning scheme
INFO     | 2018-05-30 09:34:06,740 | analysis_m |       Combining subsets: 'uce-1683_right' and 'uce-1683_left'
INFO     | 2018-05-30 09:34:06,741 | analysis_m |       This improves the aicc score by: 10.5660251465
INFO     | 2018-05-30 09:34:06,743 | analysis_m |       The best scheme has 2 subsets and improves the aicc score by 10.57 to 1365.2
INFO     | 2018-05-30 09:34:06,785 | analysis_m |    *** Relaxed clustering algorithm step 2 of up to 2 ***
INFO     | 2018-05-30 09:34:06,785 | analysis_m |       Measuring the similarity of 1 subset pairs
INFO     | 2018-05-30 09:34:06,786 | analysis_m |       Choosing the 1 most similar subset pairs
INFO     | 2018-05-30 09:34:06,787 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2018-05-30 09:34:07,422 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2018-05-30 09:34:07,423 | analysis_m |       Finding the best partitioning scheme
INFO     | 2018-05-30 09:34:07,424 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2018-05-30 09:34:07,424 | analysis_m |    Relaxed clustering algorithm finished after 2 steps
INFO     | 2018-05-30 09:34:07,425 | analysis_m |    Best scoring scheme is scheme step_1, with aicc score of 1365.179
INFO     | 2018-05-30 09:34:07,455 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2018-05-30 09:34:07,483 | model_util |    
INFO     | 2018-05-30 09:34:07,483 | model_util |    
INFO     | 2018-05-30 09:34:07,484 | model_util |    *Citations for this analysis*
INFO     | 2018-05-30 09:34:07,484 | model_util |    -----------------------------
INFO     | 2018-05-30 09:34:07,484 | model_util |    
INFO     | 2018-05-30 09:34:07,485 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2018-05-30 09:34:07,485 | model_util |    
INFO     | 2018-05-30 09:34:07,486 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2018-05-30 09:34:07,486 | model_util |    Lanfear, R., Calcott, B., Frandsen, P. Forthcoming. PartitionFinder 2: new methods for selecting partitioning schemes and models of molecular evolution for large datasets. In preparation.
INFO     | 2018-05-30 09:34:07,486 | model_util |    
INFO     | 2018-05-30 09:34:07,487 | model_util |    For the rclusterf algorithm you used, please cite:
INFO     | 2018-05-30 09:34:07,487 | model_util |    Lanfear, R., Calcott, B., Kainer, D., Mayer, C., & Stamatakis, A. (2014). Selecting optimal partitioning schemes for phylogenomic datasets. BMC evolutionary biology, 14(1), 82.
INFO     | 2018-05-30 09:34:07,488 | model_util |    
INFO     | 2018-05-30 09:34:07,488 | model_util |    Your analysis also used RAxML, so please cite:
INFO     | 2018-05-30 09:34:07,488 | model_util |    Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2018-05-30 09:34:07,489 | model_util |    
INFO     | 2018-05-30 09:34:07,512 | main       | Total processing time: 0:00:04 (h:m:s)
INFO     | 2018-05-30 09:34:07,513 | main       | Processing complete.
