name,uce_site,aln_site,window_start,window_stop,type,value,plot_mtx
uce-1547,-93,0,50,100,entropy,-0.0,-1
uce-1547,-92,1,50,100,entropy,-0.0,-1
uce-1547,-91,2,50,100,entropy,-0.0,-1
uce-1547,-90,3,50,100,entropy,-0.0,-1
uce-1547,-89,4,50,100,entropy,-0.0,-1
uce-1547,-88,5,50,100,entropy,0.9182958340544896,-1
uce-1547,-87,6,50,100,entropy,-0.0,-1
uce-1547,-86,7,50,100,entropy,0.8112781244591328,-1
uce-1547,-85,8,50,100,entropy,0.8112781244591328,-1
uce-1547,-84,9,50,100,entropy,-0.0,-1
uce-1547,-83,10,50,100,entropy,-0.0,-1
uce-1547,-82,11,50,100,entropy,1.5,-1
uce-1547,-81,12,50,100,entropy,-0.0,-1
uce-1547,-80,13,50,100,entropy,-0.0,-1
uce-1547,-79,14,50,100,entropy,-0.0,-1
uce-1547,-78,15,50,100,entropy,-0.0,-1
uce-1547,-77,16,50,100,entropy,-0.0,-1
uce-1547,-76,17,50,100,entropy,-0.0,-1
uce-1547,-75,18,50,100,entropy,-0.0,-1
uce-1547,-74,19,50,100,entropy,-0.0,-1
uce-1547,-73,20,50,100,entropy,-0.0,-1
uce-1547,-72,21,50,100,entropy,-0.0,-1
uce-1547,-71,22,50,100,entropy,-0.0,-1
uce-1547,-70,23,50,100,entropy,-0.0,-1
uce-1547,-69,24,50,100,entropy,-0.0,-1
uce-1547,-68,25,50,100,entropy,-0.0,-1
uce-1547,-67,26,50,100,entropy,-0.0,-1
uce-1547,-66,27,50,100,entropy,-0.0,-1
uce-1547,-65,28,50,100,entropy,-0.0,-1
uce-1547,-64,29,50,100,entropy,0.8112781244591328,-1
uce-1547,-63,30,50,100,entropy,-0.0,-1
uce-1547,-62,31,50,100,entropy,-0.0,-1
uce-1547,-61,32,50,100,entropy,-0.0,-1
uce-1547,-60,33,50,100,entropy,-0.0,-1
uce-1547,-59,34,50,100,entropy,-0.0,-1
uce-1547,-58,35,50,100,entropy,0.8112781244591328,-1
uce-1547,-57,36,50,100,entropy,-0.0,-1
uce-1547,-56,37,50,100,entropy,-0.0,-1
uce-1547,-55,38,50,100,entropy,1.0,-1
uce-1547,-54,39,50,100,entropy,-0.0,-1
uce-1547,-53,40,50,100,entropy,-0.0,-1
uce-1547,-52,41,50,100,entropy,-0.0,-1
uce-1547,-51,42,50,100,entropy,-0.0,-1
uce-1547,-50,43,50,100,entropy,-0.0,-1
uce-1547,-49,44,50,100,entropy,0.8112781244591328,-1
uce-1547,-48,45,50,100,entropy,-0.0,-1
uce-1547,-47,46,50,100,entropy,-0.0,-1
uce-1547,-46,47,50,100,entropy,-0.0,-1
uce-1547,-45,48,50,100,entropy,-0.0,-1
uce-1547,-44,49,50,100,entropy,-0.0,-1
uce-1547,-43,50,50,100,entropy,-0.0,0
uce-1547,-42,51,50,100,entropy,-0.0,0
uce-1547,-41,52,50,100,entropy,-0.0,0
uce-1547,-40,53,50,100,entropy,0.8112781244591328,0
uce-1547,-39,54,50,100,entropy,0.8112781244591328,0
uce-1547,-38,55,50,100,entropy,-0.0,0
uce-1547,-37,56,50,100,entropy,-0.0,0
uce-1547,-36,57,50,100,entropy,-0.0,0
uce-1547,-35,58,50,100,entropy,-0.0,0
uce-1547,-34,59,50,100,entropy,1.0,0
uce-1547,-33,60,50,100,entropy,-0.0,0
uce-1547,-32,61,50,100,entropy,-0.0,0
uce-1547,-31,62,50,100,entropy,0.8112781244591328,0
uce-1547,-30,63,50,100,entropy,-0.0,0
uce-1547,-29,64,50,100,entropy,-0.0,0
uce-1547,-28,65,50,100,entropy,0.8112781244591328,0
uce-1547,-27,66,50,100,entropy,-0.0,0
uce-1547,-26,67,50,100,entropy,-0.0,0
uce-1547,-25,68,50,100,entropy,-0.0,0
uce-1547,-24,69,50,100,entropy,-0.0,0
uce-1547,-23,70,50,100,entropy,-0.0,0
uce-1547,-22,71,50,100,entropy,-0.0,0
uce-1547,-21,72,50,100,entropy,-0.0,0
uce-1547,-20,73,50,100,entropy,-0.0,0
uce-1547,-19,74,50,100,entropy,-0.0,0
uce-1547,-18,75,50,100,entropy,-0.0,0
uce-1547,-17,76,50,100,entropy,-0.0,0
uce-1547,-16,77,50,100,entropy,0.8112781244591328,0
uce-1547,-15,78,50,100,entropy,-0.0,0
uce-1547,-14,79,50,100,entropy,-0.0,0
uce-1547,-13,80,50,100,entropy,0.8112781244591328,0
uce-1547,-12,81,50,100,entropy,-0.0,0
uce-1547,-11,82,50,100,entropy,-0.0,0
uce-1547,-10,83,50,100,entropy,0.8112781244591328,0
uce-1547,-9,84,50,100,entropy,0.8112781244591328,0
uce-1547,-8,85,50,100,entropy,-0.0,0
uce-1547,-7,86,50,100,entropy,-0.0,0
uce-1547,-6,87,50,100,entropy,-0.0,0
uce-1547,-5,88,50,100,entropy,-0.0,0
uce-1547,-4,89,50,100,entropy,-0.0,0
uce-1547,-3,90,50,100,entropy,-0.0,0
uce-1547,-2,91,50,100,entropy,-0.0,0
uce-1547,-1,92,50,100,entropy,0.8112781244591328,0
uce-1547,0,93,50,100,entropy,-0.0,0
uce-1547,1,94,50,100,entropy,-0.0,0
uce-1547,2,95,50,100,entropy,-0.0,0
uce-1547,3,96,50,100,entropy,-0.0,0
uce-1547,4,97,50,100,entropy,-0.0,0
uce-1547,5,98,50,100,entropy,-0.0,0
uce-1547,6,99,50,100,entropy,-0.0,0
uce-1547,7,100,50,100,entropy,1.5,1
uce-1547,8,101,50,100,entropy,0.8112781244591328,1
uce-1547,9,102,50,100,entropy,-0.0,1
uce-1547,10,103,50,100,entropy,0.8112781244591328,1
uce-1547,11,104,50,100,entropy,1.0,1
uce-1547,12,105,50,100,entropy,0.8112781244591328,1
uce-1547,13,106,50,100,entropy,-0.0,1
uce-1547,14,107,50,100,entropy,-0.0,1
uce-1547,15,108,50,100,entropy,-0.0,1
uce-1547,16,109,50,100,entropy,-0.0,1
uce-1547,17,110,50,100,entropy,1.0,1
uce-1547,18,111,50,100,entropy,0.8112781244591328,1
uce-1547,19,112,50,100,entropy,0.8112781244591328,1
uce-1547,20,113,50,100,entropy,-0.0,1
uce-1547,21,114,50,100,entropy,-0.0,1
uce-1547,22,115,50,100,entropy,0.8112781244591328,1
